instant_daily,dteday,season_daily,mnth_daily,holiday_daily,weekday_daily,workingday_daily,weathersit_daily,temp_daily,atemp_daily,hum_daily,windspeed_daily,cnt_daily,instant_hourly,season_hourly,mnth_hourly,hr,holiday_hourly,weekday_hourly,workingday_hourly,weathersit_hourly,temp_hourly,atemp_hourly,hum_hourly,windspeed_hourly,cnt_hourly
1,2011-01-01,Spring,Jan,0,6,0,2,0.344167,0.363625,0.805833,0.160446,985,1,Spring,Jan,0,0,6,0,1,0.24,0.2879,0.81,0.0,16
1,2011-01-01,Spring,Jan,0,6,0,2,0.344167,0.363625,0.805833,0.160446,985,2,Spring,Jan,1,0,6,0,1,0.22,0.2727,0.8,0.0,40
1,2011-01-01,Spring,Jan,0,6,0,2,0.344167,0.363625,0.805833,0.160446,985,3,Spring,Jan,2,0,6,0,1,0.22,0.2727,0.8,0.0,32
1,2011-01-01,Spring,Jan,0,6,0,2,0.344167,0.363625,0.805833,0.160446,985,4,Spring,Jan,3,0,6,0,1,0.24,0.2879,0.75,0.0,13
1,2011-01-01,Spring,Jan,0,6,0,2,0.344167,0.363625,0.805833,0.160446,985,5,Spring,Jan,4,0,6,0,1,0.24,0.2879,0.75,0.0,1
1,2011-01-01,Spring,Jan,0,6,0,2,0.344167,0.363625,0.805833,0.160446,985,6,Spring,Jan,5,0,6,0,2,0.24,0.2576,0.75,0.0896,1
1,2011-01-01,Spring,Jan,0,6,0,2,0.344167,0.363625,0.805833,0.160446,985,7,Spring,Jan,6,0,6,0,1,0.22,0.2727,0.8,0.0,2
1,2011-01-01,Spring,Jan,0,6,0,2,0.344167,0.363625,0.805833,0.160446,985,8,Spring,Jan,7,0,6,0,1,0.2,0.2576,0.86,0.0,3
1,2011-01-01,Spring,Jan,0,6,0,2,0.344167,0.363625,0.805833,0.160446,985,9,Spring,Jan,8,0,6,0,1,0.24,0.2879,0.75,0.0,8
1,2011-01-01,Spring,Jan,0,6,0,2,0.344167,0.363625,0.805833,0.160446,985,10,Spring,Jan,9,0,6,0,1,0.32,0.3485,0.76,0.0,14
1,2011-01-01,Spring,Jan,0,6,0,2,0.344167,0.363625,0.805833,0.160446,985,11,Spring,Jan,10,0,6,0,1,0.38,0.3939,0.76,0.2537,36
1,2011-01-01,Spring,Jan,0,6,0,2,0.344167,0.363625,0.805833,0.160446,985,12,Spring,Jan,11,0,6,0,1,0.36,0.3333,0.81,0.2836,56
1,2011-01-01,Spring,Jan,0,6,0,2,0.344167,0.363625,0.805833,0.160446,985,13,Spring,Jan,12,0,6,0,1,0.42,0.4242,0.77,0.2836,84
1,2011-01-01,Spring,Jan,0,6,0,2,0.344167,0.363625,0.805833,0.160446,985,14,Spring,Jan,13,0,6,0,2,0.46,0.4545,0.72,0.2985,94
1,2011-01-01,Spring,Jan,0,6,0,2,0.344167,0.363625,0.805833,0.160446,985,15,Spring,Jan,14,0,6,0,2,0.46,0.4545,0.72,0.2836,106
1,2011-01-01,Spring,Jan,0,6,0,2,0.344167,0.363625,0.805833,0.160446,985,16,Spring,Jan,15,0,6,0,2,0.44,0.4394,0.77,0.2985,110
1,2011-01-01,Spring,Jan,0,6,0,2,0.344167,0.363625,0.805833,0.160446,985,17,Spring,Jan,16,0,6,0,2,0.42,0.4242,0.82,0.2985,93
1,2011-01-01,Spring,Jan,0,6,0,2,0.344167,0.363625,0.805833,0.160446,985,18,Spring,Jan,17,0,6,0,2,0.44,0.4394,0.82,0.2836,67
1,2011-01-01,Spring,Jan,0,6,0,2,0.344167,0.363625,0.805833,0.160446,985,19,Spring,Jan,18,0,6,0,3,0.42,0.4242,0.88,0.2537,35
1,2011-01-01,Spring,Jan,0,6,0,2,0.344167,0.363625,0.805833,0.160446,985,20,Spring,Jan,19,0,6,0,3,0.42,0.4242,0.88,0.2537,37
1,2011-01-01,Spring,Jan,0,6,0,2,0.344167,0.363625,0.805833,0.160446,985,21,Spring,Jan,20,0,6,0,2,0.4,0.4091,0.87,0.2537,36
1,2011-01-01,Spring,Jan,0,6,0,2,0.344167,0.363625,0.805833,0.160446,985,22,Spring,Jan,21,0,6,0,2,0.4,0.4091,0.87,0.194,34
1,2011-01-01,Spring,Jan,0,6,0,2,0.344167,0.363625,0.805833,0.160446,985,23,Spring,Jan,22,0,6,0,2,0.4,0.4091,0.94,0.2239,28
1,2011-01-01,Spring,Jan,0,6,0,2,0.344167,0.363625,0.805833,0.160446,985,24,Spring,Jan,23,0,6,0,2,0.46,0.4545,0.88,0.2985,39
2,2011-01-02,Spring,Jan,0,0,0,2,0.363478,0.353739,0.696087,0.248539,801,25,Spring,Jan,0,0,0,0,2,0.46,0.4545,0.88,0.2985,17
2,2011-01-02,Spring,Jan,0,0,0,2,0.363478,0.353739,0.696087,0.248539,801,26,Spring,Jan,1,0,0,0,2,0.44,0.4394,0.94,0.2537,17
2,2011-01-02,Spring,Jan,0,0,0,2,0.363478,0.353739,0.696087,0.248539,801,27,Spring,Jan,2,0,0,0,2,0.42,0.4242,1.0,0.2836,9
2,2011-01-02,Spring,Jan,0,0,0,2,0.363478,0.353739,0.696087,0.248539,801,28,Spring,Jan,3,0,0,0,2,0.46,0.4545,0.94,0.194,6
2,2011-01-02,Spring,Jan,0,0,0,2,0.363478,0.353739,0.696087,0.248539,801,29,Spring,Jan,4,0,0,0,2,0.46,0.4545,0.94,0.194,3
2,2011-01-02,Spring,Jan,0,0,0,2,0.363478,0.353739,0.696087,0.248539,801,30,Spring,Jan,6,0,0,0,3,0.42,0.4242,0.77,0.2985,2
2,2011-01-02,Spring,Jan,0,0,0,2,0.363478,0.353739,0.696087,0.248539,801,31,Spring,Jan,7,0,0,0,2,0.4,0.4091,0.76,0.194,1
2,2011-01-02,Spring,Jan,0,0,0,2,0.363478,0.353739,0.696087,0.248539,801,32,Spring,Jan,8,0,0,0,3,0.4,0.4091,0.71,0.2239,8
2,2011-01-02,Spring,Jan,0,0,0,2,0.363478,0.353739,0.696087,0.248539,801,33,Spring,Jan,9,0,0,0,2,0.38,0.3939,0.76,0.2239,20
2,2011-01-02,Spring,Jan,0,0,0,2,0.363478,0.353739,0.696087,0.248539,801,34,Spring,Jan,10,0,0,0,2,0.36,0.3485,0.81,0.2239,53
2,2011-01-02,Spring,Jan,0,0,0,2,0.363478,0.353739,0.696087,0.248539,801,35,Spring,Jan,11,0,0,0,2,0.36,0.3333,0.71,0.2537,70
2,2011-01-02,Spring,Jan,0,0,0,2,0.363478,0.353739,0.696087,0.248539,801,36,Spring,Jan,12,0,0,0,2,0.36,0.3333,0.66,0.2985,93
